# Результаты расчета кинематики КШМ
# Дата создания: Sat Oct 25 16:19:14 2025
# Параметры расчета:
# Шаг угла α: 1 град.
# Предел угла α: 360 град.
# Радиус кривошипа 0.0756 м
# λ: 0.27
# Частота вращения: 5600 об/мин
# Угол развала: 90 град.
# Угол прицепного шатуна: 0 град.
# Дезаксиал: 0 м
# Количество точек расчета: 361
# Расчет выполнен для главного и бокового цилиндров
# Боковой цилиндр имеет угол развала: 90 град.

alpha[град],stroke_full_main[м];stroke1_main[м];stroke2_main[м];velocity_full_main[м/с];velocity1_main[м/с];velocity2_main[м/с];acceleration_full_main[м/с²];acceleration1_main[м/с²];acceleration2_main[м/с²];stroke_full_side[м];stroke1_side[м];stroke2_side[м];velocity_full_side[м/с];velocity1_side[м/с];velocity2_side[м/с];acceleration_full_side[м/с²];acceleration1_side[м/с²];acceleration2_side[м/с²]
243.000000;0.118145;0.109922;0.008102;-34.513458;-39.502022;4.842057;-15962.612503;-11803.256644;-4126.078962;0.145072;0.142960;0.002104;15.248437;20.127285;-4.842057;-18922.107920;-23165.195489;4126.078962
244.000000;0.117111;0.108741;0.008245;-34.985618;-39.847275;4.716332;-15765.085704;-11397.170544;-4321.761819;0.145517;0.143549;0.001961;14.685096;19.434815;-4.716332;-18934.165642;-23367.662550;4321.761819
245.000000;0.116062;0.107550;0.008383;-35.451770;-40.180390;4.584861;-15558.911799;-10987.612756;-4512.179274;0.145946;0.144117;0.001823;14.121420;18.736424;-4.584861;-18944.601833;-23563.011594;4512.179274
246.000000;0.115001;0.106349;0.008518;-35.911656;-40.501266;4.447804;-15343.932730;-10574.708034;-4697.099335;0.146358;0.144664;0.001688;13.557456;18.032326;-4.447804;-18953.549910;-23751.183117;4697.099335
247.000000;0.113925;0.105139;0.008648;-36.365011;-40.809805;4.305329;-15119.997409;-10158.582153;-4876.296703;0.146753;0.145190;0.001558;12.993246;17.322735;-4.305329;-18961.138372;-23932.119800;4876.296703
248.000000;0.112836;0.103920;0.008774;-36.811565;-41.105913;4.157607;-14886.962190;-9739.361870;-5049.553055;0.147131;0.145695;0.001432;12.428829;16.607867;-4.157607;-18967.490743;-24105.766526;5049.553055
249.000000;0.111734;0.102693;0.008895;-37.251048;-41.389500;4.004821;-14644.691353;-9317.174884;-5216.657305;0.147492;0.146179;0.001311;11.864239;15.887940;-4.004821;-18972.725512;-24272.070403;5216.657305
250.000000;0.110619;0.101457;0.009012;-37.683180;-41.660479;3.847155;-14393.057576;-8892.149795;-5377.405861;0.147837;0.146641;0.001194;11.299510;15.163174;-3.847155;-18976.956091;-24430.980772;5377.405861
251.000000;0.109491;0.100213;0.009124;-38.107683;-41.918768;3.684802;-14131.942401;-8464.416071;-5531.602876;0.148165;0.147081;0.001082;10.734668;14.433789;-3.684802;-18980.290773;-24582.449228;5531.602876
252.000000;0.108351;0.098962;0.009231;-38.524272;-42.164288;3.517960;-13861.236688;-8034.104005;-5679.060485;0.148476;0.147500;0.000975;10.169738;13.700007;-3.517960;-18982.832694;-24726.429631;5679.060485
253.000000;0.107198;0.097703;0.009334;-38.932661;-42.396964;3.346832;-13580.841064;-7601.344672;-5819.599034;0.148770;0.147897;0.000872;9.604744;12.962053;-3.346832;-18984.679802;-24862.878125;5819.599034
254.000000;0.106033;0.096438;0.009431;-39.332559;-42.616726;3.171626;-13290.666357;-7166.269896;-5953.047298;0.149048;0.148271;0.000775;9.039704;12.220149;-3.171626;-18985.924837;-24991.753145;5953.047298
255.000000;0.104857;0.095167;0.009522;-39.723674;-42.823506;2.992555;-12990.634015;-6729.012205;-6079.242691;0.149309;0.148624;0.000684;8.474635;11.474524;-2.992555;-18986.655298;-25113.015434;6079.242691
256.000000;0.103669;0.093889;0.009609;-40.105712;-43.017242;2.809839;-12680.676510;-6289.704792;-6198.031463;0.149552;0.148954;0.000597;7.909550;10.725403;-2.809839;-18986.953437;-25226.628056;6198.031463
257.000000;0.102470;0.092606;0.009690;-40.478377;-43.197874;2.623700;-12360.737728;-5848.481473;-6309.268889;0.149779;0.149262;0.000516;7.344462;9.973015;-2.623700;-18986.896232;-25332.556403;6309.268889
258.000000;0.101259;0.091318;0.009765;-40.841371;-43.365348;2.434364;-12030.773334;-5405.476651;-6412.819442;0.149989;0.149548;0.000441;6.779381;9.217589;-2.434364;-18986.555384;-25430.768208;6412.819442
259.000000;0.100039;0.090025;0.009834;-41.194395;-43.519612;2.242062;-11690.751119;-4960.825268;-6508.556962;0.150183;0.149811;0.000372;6.214312;8.459356;-2.242062;-18985.997301;-25521.233554;6508.556962
260.000000;0.098807;0.088728;0.009898;-41.537149;-43.660620;2.047029;-11340.651330;-4514.662769;-6596.364808;0.150359;0.150051;0.000308;5.649263;7.698545;-2.047029;-18985.283094;-25603.924886;6596.364808
261.000000;0.097566;0.087426;0.009956;-41.869334;-43.788329;1.849501;-10980.466968;-4067.125061;-6676.136000;0.150519;0.150269;0.000250;5.084237;6.935390;-1.849501;-18984.468567;-25678.817013;6676.136000
262.000000;0.096315;0.086121;0.010008;-42.190648;-43.902699;1.649720;-10610.204066;-3618.348467;-6747.773349;0.150662;0.150464;0.000198;4.519236;6.170122;-1.649720;-18983.604219;-25745.887125;6747.773349
263.000000;0.095055;0.084813;0.010054;-42.500794;-44.003695;1.447929;-10229.881940;-3168.469688;-6811.189575;0.150788;0.150636;0.000152;3.954261;5.402974;-1.447929;-18982.735234;-25805.114790;6811.189575
264.000000;0.093786;0.083502;0.010094;-42.799470;-44.091288;1.244375;-9839.533414;-2717.625764;-6866.307416;0.150897;0.150786;0.000112;3.389311;4.634181;-1.244375;-18981.901483;-25856.481966;6866.307416
265.000000;0.092508;0.082189;0.010128;-43.086381;-44.165451;1.039304;-9439.205012;-2265.954024;-6913.059719;0.150990;0.150912;0.000078;2.824385;3.863976;-1.039304;-18981.137523;-25899.973008;6913.059719
266.000000;0.091221;0.080874;0.010156;-43.361229;-44.226160;0.832966;-9028.957123;-1813.592052;-6951.389524;0.151066;0.151016;0.000050;2.259480;3.092594;-0.832966;-18980.472592;-25935.574668;6951.389524
267.000000;0.089927;0.079557;0.010178;-43.623721;-44.273397;0.625614;-8608.864142;-1360.677643;-6981.250131;0.151124;0.151096;0.000028;1.694593;2.320270;-0.625614;-18979.930614;-25963.276099;6981.250131
268.000000;0.088625;0.078238;0.010194;-43.873565;-44.307148;0.417500;-8179.014564;-907.348759;-7002.605160;0.151166;0.151154;0.000012;1.129721;1.547240;-0.417500;-18979.530197;-25983.068866;7002.605160
269.000000;0.087315;0.076919;0.010203;-44.110472;-44.327403;0.208877;-7739.511065;-453.743487;-7015.428594;0.151192;0.151188;0.000003;0.564858;0.773738;-0.208877;-18979.284631;-25994.946938;7015.428594
270.000000;0.085999;0.075600;0.010206;-44.334156;-44.334156;0.000000;-7290.470535;-0.000000;-7019.704808;0.151200;0.151200;0.000000;0.000000;0.000000;-0.000000;-18979.201889;-25998.906698;7019.704808
271.000000;0.084676;0.074281;0.010203;-44.544335;-44.327403;-0.208877;-6832.024091;453.743487;-7015.428594;0.151192;0.151188;0.000003;-0.564858;-0.773738;0.208877;-18979.284631;-25994.946938;7015.428594
272.000000;0.083348;0.072962;0.010194;-44.740732;-44.307148;-0.417500;-6364.317047;907.348759;-7002.605160;0.151166;0.151154;0.000012;-1.129721;-1.547240;0.417500;-18979.530197;-25983.068866;7002.605160
273.000000;0.082013;0.071643;0.010178;-44.923073;-44.273397;-0.625614;-5887.508855;1360.677643;-6981.250131;0.151124;0.151096;0.000028;-1.694593;-2.320270;0.625614;-18979.930614;-25963.276099;6981.250131
274.000000;0.080674;0.070326;0.010156;-45.091090;-44.226160;-0.832966;-5401.773019;1813.592052;-6951.389524;0.151066;0.151016;0.000050;-2.259480;-3.092594;0.832966;-18980.472592;-25935.574668;6951.389524
275.000000;0.079330;0.069011;0.010128;-45.244520;-44.165451;-1.039304;-4907.296964;2265.954024;-6913.059719;0.150990;0.150912;0.000078;-2.824385;-3.863976;1.039304;-18981.137523;-25899.973008;6913.059719
276.000000;0.077981;0.067698;0.010094;-45.383106;-44.091288;-1.244375;-4404.281887;2717.625764;-6866.307416;0.150897;0.150786;0.000112;-3.389311;-4.634181;1.244375;-18981.901483;-25856.481966;6866.307416
277.000000;0.076628;0.066387;0.010054;-45.506597;-44.003695;-1.447929;-3892.942563;3168.469688;-6811.189575;0.150788;0.150636;0.000152;-3.954261;-5.402974;1.447929;-18982.735234;-25805.114790;6811.189575
278.000000;0.075272;0.065079;0.010008;-45.614749;-43.902699;-1.649720;-3373.507132;3618.348467;-6747.773349;0.150662;0.150464;0.000198;-4.519236;-6.170122;1.649720;-18983.604219;-25745.887125;6747.773349
279.000000;0.073913;0.063774;0.009956;-45.707323;-43.788329;-1.849501;-2846.216846;4067.125061;-6676.136000;0.150519;0.150269;0.000250;-5.084237;-6.935390;1.849501;-18984.468567;-25678.817013;6676.136000
280.000000;0.072552;0.062472;0.009898;-45.784091;-43.660620;-2.047029;-2311.325791;4514.662769;-6596.364808;0.150359;0.150051;0.000308;-5.649263;-7.698545;2.047029;-18985.283094;-25603.924886;6596.364808
281.000000;0.071188;0.061175;0.009834;-45.844830;-43.519612;-2.242062;-1769.100583;4960.825268;-6508.556962;0.150183;0.149811;0.000372;-6.214312;-8.459356;2.242062;-18985.997301;-25521.233554;6508.556962
282.000000;0.069823;0.059882;0.009765;-45.889325;-43.365348;-2.434364;-1219.820032;5405.476651;-6412.819442;0.149989;0.149548;0.000441;-6.779381;-9.217589;2.434364;-18986.555384;-25430.768208;6412.819442
283.000000;0.068457;0.058594;0.009690;-45.917371;-43.197874;-2.623700;-663.774781;5848.481473;-6309.268889;0.149779;0.149262;0.000516;-7.344462;-9.973015;2.623700;-18986.896232;-25332.556403;6309.268889
284.000000;0.067090;0.057311;0.009609;-45.928771;-43.017242;-2.809839;-101.266927;6289.704792;-6198.031463;0.149552;0.148954;0.000597;-7.909550;-10.725403;2.809839;-18986.953437;-25226.628056;6198.031463
285.000000;0.065723;0.056033;0.009522;-45.923338;-42.823506;-2.992555;467.390396;6729.012205;-6079.242691;0.149309;0.148624;0.000684;-8.474635;-11.474524;2.992555;-18986.655298;-25113.015434;6079.242691
286.000000;0.064357;0.054762;0.009431;-45.900892;-42.616726;-3.171626;1041.873436;7166.269896;-5953.047298;0.149048;0.148271;0.000775;-9.039704;-12.220149;3.171626;-18985.924837;-24991.753145;5953.047298
287.000000;0.062991;0.053497;0.009334;-45.861267;-42.396964;-3.346832;1621.848280;7601.344672;-5819.599034;0.148770;0.147897;0.000872;-9.604744;-12.962053;3.346832;-18984.679802;-24862.878125;5819.599034
288.000000;0.061627;0.052238;0.009231;-45.804303;-42.164288;-3.517960;2206.971322;8034.104005;-5679.060485;0.148476;0.147500;0.000975;-10.169738;-13.700007;3.517960;-18982.832694;-24726.429631;5679.060485
289.000000;0.060265;0.050987;0.009124;-45.729852;-41.918768;-3.684802;2796.889742;8464.416071;-5531.602876;0.148165;0.147081;0.001082;-10.734668;-14.433789;3.684802;-18980.290773;-24582.449228;5531.602876
290.000000;0.058905;0.049743;0.009012;-45.637777;-41.660479;-3.847155;3391.242014;8892.149795;-5377.405861;0.147837;0.146641;0.001194;-11.299510;-15.163174;3.847155;-18976.956091;-24430.980772;5377.405861
291.000000;0.057549;0.048507;0.008895;-45.527952;-41.389500;-4.004821;3989.658414;9317.174884;-5216.657305;0.147492;0.146179;0.001311;-11.864239;-15.887940;4.004821;-18972.725512;-24272.070403;5216.657305
292.000000;0.056195;0.047280;0.008774;-45.400261;-41.105913;-4.157607;4591.761551;9739.361870;-5049.553055;0.147131;0.145695;0.001432;-12.428829;-16.607867;4.157607;-18967.490743;-24105.766526;5049.553055
293.000000;0.054846;0.046061;0.008648;-45.254600;-40.809805;-4.305329;5197.166898;10158.582153;-4876.296703;0.146753;0.145190;0.001558;-12.993246;-17.322735;4.305329;-18961.138372;-23932.119800;4876.296703
294.000000;0.053502;0.044851;0.008518;-45.090877;-40.501266;-4.447804;5805.483337;10574.708034;-4697.099335;0.146358;0.144664;0.001688;-13.557456;-18.032326;4.447804;-18953.549910;-23751.183117;4697.099335
295.000000;0.052163;0.043650;0.008383;-44.909011;-40.180390;-4.584861;6416.313713;10987.612756;-4512.179274;0.145946;0.144117;0.001823;-14.121420;-18.736424;4.584861;-18944.601833;-23563.011594;4512.179274
296.000000;0.050829;0.042459;0.008245;-44.708933;-39.847275;-4.716332;7029.255384;11397.170544;-4321.761819;0.145517;0.143549;0.001961;-14.685096;-19.434815;4.716332;-18934.165642;-23367.662550;4321.761819
297.000000;0.049502;0.041278;0.008102;-44.490586;-39.502022;-4.842057;7643.900786;11803.256644;-4126.078962;0.145072;0.142960;0.002104;-15.248437;-20.127285;4.842057;-18922.107920;-23165.195489;4126.078962
298.000000;0.048181;0.040108;0.007957;-44.253926;-39.144736;-4.961882;8259.837985;12205.747358;-3925.369113;0.144609;0.142351;0.002249;-15.811394;-20.813625;4.961882;-18908.290400;-22955.672086;3925.369113
299.000000;0.046868;0.038948;0.007807;-43.998920;-38.775526;-5.075662;8876.651246;12604.520083;-3719.876807;0.144130;0.141721;0.002399;-16.373912;-21.493625;5.075662;-18892.570043;-22739.156162;3719.876807
300.000000;0.045562;0.037800;0.007654;-43.725549;-38.394505;-5.183258;9493.921586;12999.453349;-3509.852404;0.143635;0.141072;0.002552;-16.935932;-22.167078;5.183258;-18874.799122;-22515.713671;3509.852404
301.000000;0.044265;0.036663;0.007499;-43.433805;-38.001788;-5.284539;10111.227331;13390.426855;-3295.551787;0.143122;0.140402;0.002707;-17.497390;-22.833778;5.284539;-18854.825313;-22285.412675;3295.551787
302.000000;0.042977;0.035538;0.007340;-43.123694;-37.597496;-5.379382;10728.144668;13777.321508;-3077.236047;0.142593;0.139712;0.002866;-18.058219;-23.493523;5.379382;-18832.491803;-22048.323327;3077.236047
303.000000;0.041698;0.034425;0.007179;-42.795233;-37.181751;-5.467671;11344.248189;14160.019455;-2855.171169;0.142047;0.139003;0.003027;-18.618347;-24.146112;5.467671;-18807.637401;-21804.517846;2855.171169
304.000000;0.040430;0.033325;0.007015;-42.448453;-36.754681;-5.549298;11959.111431;14538.404123;-2629.627705;0.141485;0.138275;0.003191;-19.177695;-24.791345;5.549298;-18780.096661;-21554.070498;2629.627705
305.000000;0.039172;0.032238;0.006848;-42.083398;-36.316414;-5.624165;12572.307409;14912.360253;-2400.880445;0.140906;0.137528;0.003358;-19.736181;-25.429027;5.624165;-18749.700020;-21297.057571;2400.880445
306.000000;0.037925;0.031163;0.006680;-41.700123;-35.867085;-5.692179;13183.409129;15281.773933;-2169.208081;0.140310;0.136762;0.003526;-20.293718;-26.058963;5.692179;-18716.273942;-21033.557353;2169.208081
307.000000;0.036690;0.030103;0.006510;-41.298696;-35.406831;-5.753258;13791.990110;15646.532636;-1934.892872;0.139698;0.135977;0.003696;-20.850213;-26.680961;5.753258;-18679.641077;-20763.650111;1934.892872
308.000000;0.035467;0.029056;0.006338;-40.879200;-34.935791;-5.807328;14397.624874;16006.525254;-1698.220294;0.139069;0.135174;0.003868;-21.405568;-27.294832;5.807328;-18639.620435;-20487.418060;1698.220294
309.000000;0.034257;0.028023;0.006164;-40.441728;-34.454110;-5.854322;14999.889441;16361.642130;-1459.478696;0.138424;0.134352;0.004042;-21.959679;-27.900388;5.854322;-18596.027567;-20204.945342;1459.478696
310.000000;0.033060;0.027005;0.005989;-39.986387;-33.961933;-5.894184;15598.361799;16711.775091;-1218.958948;0.137762;0.133513;0.004217;-22.512437;-28.497446;5.894184;-18548.674765;-19916.318003;1218.958948
311.000000;0.031877;0.026002;0.005813;-39.513296;-33.459412;-5.926864;16192.622369;17056.817483;-976.954086;0.137084;0.132656;0.004393;-23.063728;-29.085823;5.926864;-18497.371270;-19621.623960;976.954086
312.000000;0.030708;0.025014;0.005636;-39.022586;-32.946698;-5.952324;16782.254452;17396.664203;-733.758956;0.136389;0.131782;0.004570;-23.613430;-29.665340;5.952324;-18441.923500;-19320.952980;733.758956
313.000000;0.029554;0.024041;0.005459;-38.514402;-32.423949;-5.970532;17366.844662;17731.211731;-489.669854;0.135678;0.130890;0.004747;-24.161418;-30.235821;5.970532;-18382.135288;-19014.396651;489.669854
314.000000;0.028416;0.023084;0.005281;-37.988900;-31.891323;-5.981465;17945.983344;18060.358160;-244.984165;0.134951;0.129982;0.004925;-24.707560;-30.797092;5.981465;-18317.808135;-18702.048353;244.984165
315.000000;0.027293;0.022143;0.005103;-37.446247;-31.348982;-5.985111;18519.264980;18384.003229;-0.000000;0.134208;0.129057;0.005103;-25.251717;-31.348982;5.985111;-18248.741479;-18384.003229;0.000000
316.000000;0.026187;0.021218;0.004925;-36.886625;-30.797092;-5.981465;19086.288570;18702.048353;244.984165;0.133448;0.128116;0.005281;-25.793745;-31.891323;5.981465;-18174.732976;-18060.358160;-244.984165
317.000000;0.025098;0.020310;0.004747;-36.310225;-30.235821;-5.970532;19646.658014;19014.396651;489.669854;0.132672;0.127159;0.005459;-26.333495;-32.423949;5.970532;-18095.578800;-17731.211731;-489.669854
318.000000;0.024026;0.019418;0.004570;-35.717251;-29.665340;-5.952324;20199.982460;19320.952980;733.758956;0.131881;0.126186;0.005636;-26.870810;-32.946698;5.952324;-18011.073955;-17396.664203;-733.758956
319.000000;0.022972;0.018544;0.004393;-35.107918;-29.085823;-5.926864;20745.876650;19621.623960;976.954086;0.131073;0.125198;0.005813;-27.405528;-33.459412;5.926864;-17921.012597;-17056.817483;-976.954086
320.000000;0.021936;0.017687;0.004217;-34.482455;-28.497446;-5.894184;21283.961241;19916.318003;1218.958948;0.130249;0.124195;0.005989;-27.937480;-33.961933;5.894184;-17825.188383;-16711.775091;-1218.958948
321.000000;0.020919;0.016848;0.004042;-33.841097;-27.900388;-5.854322;21813.863117;20204.945342;1459.478696;0.129410;0.123177;0.006164;-28.466492;-34.454110;5.854322;-17723.394819;-16361.642130;-1459.478696
322.000000;0.019922;0.016026;0.003868;-33.184095;-27.294832;-5.807328;22335.215684;20487.418060;1698.220294;0.128555;0.122144;0.006338;-28.992383;-34.935791;5.807328;-17615.425634;-16006.525254;-1698.220294
323.000000;0.018944;0.015223;0.003696;-32.511708;-26.680961;-5.753258;22847.659145;20763.650111;1934.892872;0.127684;0.121097;0.006510;-29.514966;-35.406831;5.753258;-17501.075162;-15646.532636;-1934.892872
324.000000;0.017987;0.014438;0.003526;-31.824207;-26.058963;-5.692179;23350.840765;21033.557353;2169.208081;0.126798;0.120037;0.006680;-30.034048;-35.867085;5.692179;-17380.138736;-15281.773933;-2169.208081
325.000000;0.017050;0.013672;0.003358;-31.121873;-25.429027;-5.624165;23844.415121;21297.057571;2400.880445;0.125897;0.118962;0.006848;-30.549430;-36.316414;5.624165;-17252.413096;-14912.360253;-2400.880445
326.000000;0.016135;0.012925;0.003191;-30.404996;-24.791345;-5.549298;24328.044334;21554.070498;2629.627705;0.124980;0.117875;0.007015;-31.060908;-36.754681;5.549298;-17117.696815;-14538.404123;-2629.627705
327.000000;0.015240;0.012197;0.003027;-29.673877;-24.146112;-5.467671;24801.398291;21804.517846;2855.171169;0.124048;0.116775;0.007179;-31.568270;-37.181751;5.467671;-16975.790722;-14160.019455;-2855.171169
328.000000;0.014368;0.011488;0.002866;-28.928827;-23.493523;-5.379382;25264.154851;22048.323327;3077.236047;0.123101;0.115662;0.007340;-32.071298;-37.597496;5.379382;-16826.498348;-13777.321508;-3077.236047
329.000000;0.013519;0.010798;0.002707;-28.170166;-22.833778;-5.284539;25716.000038;22285.412675;3295.551787;0.122139;0.114537;0.007499;-32.569772;-38.001788;5.284539;-16669.626379;-13390.426855;-3295.551787
330.000000;0.012692;0.010128;0.002552;-27.398224;-22.167078;-5.183258;26156.628220;22515.713671;3509.852404;0.121162;0.113400;0.007654;-33.063461;-38.394505;5.183258;-16504.985111;-12999.453349;-3509.852404
331.000000;0.011888;0.009479;0.002399;-26.613338;-21.493625;-5.075662;26585.742280;22739.156162;3719.876807;0.120171;0.112252;0.007807;-33.552132;-38.775526;5.075662;-16332.388919;-12604.520083;-3719.876807
332.000000;0.011108;0.008849;0.002249;-25.815856;-20.813625;-4.961882;27003.053771;22955.672086;3925.369113;0.119165;0.111092;0.007957;-34.035546;-39.144736;4.961882;-16151.656731;-12205.747358;-3925.369113
333.000000;0.010351;0.008240;0.002104;-25.006134;-20.127285;-4.842057;27408.283058;23165.195489;4126.078962;0.118145;0.109922;0.008102;-34.513458;-39.502022;4.842057;-15962.612503;-11803.256644;-4126.078962
334.000000;0.009619;0.007651;0.001961;-24.184534;-19.434815;-4.716332;27801.159458;23367.662550;4321.761819;0.117111;0.108741;0.008245;-34.985618;-39.847275;4.716332;-15765.085704;-11397.170544;-4321.761819
335.000000;0.008912;0.007083;0.001823;-23.351428;-18.736424;-4.584861;28181.421356;23563.011594;4512.179274;0.116062;0.107550;0.008383;-35.451770;-40.180390;4.584861;-15558.911799;-10987.612756;-4512.179274
336.000000;0.008230;0.006536;0.001688;-22.507196;-18.032326;-4.447804;28548.816325;23751.183117;4697.099335;0.115001;0.106349;0.008518;-35.911656;-40.501266;4.447804;-15343.932730;-10574.708034;-4697.099335
337.000000;0.007572;0.006010;0.001558;-21.652224;-17.322735;-4.305329;28903.101227;23932.119800;4876.296703;0.113925;0.105139;0.008648;-36.365011;-40.809805;4.305329;-15119.997409;-10158.582153;-4876.296703
338.000000;0.006941;0.005505;0.001432;-20.786905;-16.607867;-4.157607;29244.042310;24105.766526;5049.553055;0.112836;0.103920;0.008774;-36.811565;-41.105913;4.157607;-14886.962190;-9739.361870;-5049.553055
339.000000;0.006335;0.005021;0.001311;-19.911641;-15.887940;-4.004821;29571.415294;24272.070403;5216.657305;0.111734;0.102693;0.008895;-37.251048;-41.389500;4.004821;-14644.691353;-9317.174884;-5216.657305
340.000000;0.005756;0.004559;0.001194;-19.026839;-15.163174;-3.847155;29885.005453;24430.980772;5377.405861;0.110619;0.101457;0.009012;-37.683180;-41.660479;3.847155;-14393.057576;-8892.149795;-5377.405861
341.000000;0.005203;0.004119;0.001082;-18.132911;-14.433789;-3.684802;30184.607682;24582.449228;5531.602876;0.109491;0.100213;0.009124;-38.107683;-41.918768;3.684802;-14131.942401;-8464.416071;-5531.602876
342.000000;0.004676;0.003700;0.000975;-17.230277;-13.700007;-3.517960;30470.026569;24726.429631;5679.060485;0.108351;0.098962;0.009231;-38.524272;-42.164288;3.517960;-13861.236688;-8034.104005;-5679.060485
343.000000;0.004177;0.003303;0.000872;-16.319361;-12.962053;-3.346832;30741.076447;24862.878125;5819.599034;0.107198;0.097703;0.009334;-38.932661;-42.396964;3.346832;-13580.841064;-7601.344672;-5819.599034
344.000000;0.003705;0.002929;0.000775;-15.400595;-12.220149;-3.171626;30997.581453;24991.753145;5953.047298;0.106033;0.096438;0.009431;-39.332559;-42.616726;3.171626;-13290.666357;-7166.269896;-5953.047298
345.000000;0.003261;0.002576;0.000684;-14.474413;-11.474524;-2.992555;31239.375570;25113.015434;6079.242691;0.104857;0.095167;0.009522;-39.723674;-42.823506;2.992555;-12990.634015;-6729.012205;-6079.242691
346.000000;0.002844;0.002246;0.000597;-13.541256;-10.725403;-2.809839;31466.302676;25226.628056;6198.031463;0.103669;0.093889;0.009609;-40.105712;-43.017242;2.809839;-12680.676510;-6289.704792;-6198.031463
347.000000;0.002455;0.001938;0.000516;-12.601568;-9.973015;-2.623700;31678.216574;25332.556403;6309.268889;0.102470;0.092606;0.009690;-40.478377;-43.197874;2.623700;-12360.737728;-5848.481473;-6309.268889
348.000000;0.002094;0.001652;0.000441;-11.655798;-9.217589;-2.434364;31874.981031;25430.768208;6412.819442;0.101259;0.091318;0.009765;-40.841371;-43.365348;2.434364;-12030.773334;-5405.476651;-6412.819442
349.000000;0.001761;0.001389;0.000372;-10.704399;-8.459356;-2.242062;32056.469807;25521.233554;6508.556962;0.100039;0.090025;0.009834;-41.194395;-43.519612;2.242062;-11690.751119;-4960.825268;-6508.556962
350.000000;0.001456;0.001149;0.000308;-9.747827;-7.698545;-2.047029;32222.566677;25603.924886;6596.364808;0.098807;0.088728;0.009898;-41.537149;-43.660620;2.047029;-11340.651330;-4514.662769;-6596.364808
351.000000;0.001181;0.000931;0.000250;-8.786543;-6.935390;-1.849501;32373.165459;25678.817013;6676.136000;0.097566;0.087426;0.009956;-41.869334;-43.788329;1.849501;-10980.466968;-4067.125061;-6676.136000
352.000000;0.000933;0.000736;0.000198;-7.821008;-6.170122;-1.649720;32508.170030;25745.887125;6747.773349;0.096315;0.086121;0.010008;-42.190648;-43.902699;1.649720;-10610.204066;-3618.348467;-6747.773349
353.000000;0.000715;0.000564;0.000152;-6.851688;-5.402974;-1.447929;32627.494345;25805.114790;6811.189575;0.095055;0.084813;0.010054;-42.500794;-44.003695;1.447929;-10229.881940;-3168.469688;-6811.189575
354.000000;0.000526;0.000414;0.000112;-5.879052;-4.634181;-1.244375;32731.062449;25856.481966;6866.307416;0.093786;0.083502;0.010094;-42.799470;-44.091288;1.244375;-9839.533414;-2717.625764;-6866.307416
355.000000;0.000365;0.000288;0.000078;-4.903568;-3.863976;-1.039304;32818.808494;25899.973008;6913.059719;0.092508;0.082189;0.010128;-43.086381;-44.165451;1.039304;-9439.205012;-2265.954024;-6913.059719
356.000000;0.000234;0.000184;0.000050;-3.925709;-3.092594;-0.832966;32890.676743;25935.574668;6951.389524;0.091221;0.080874;0.010156;-43.361229;-44.226160;0.832966;-9028.957123;-1813.592052;-6951.389524
357.000000;0.000132;0.000104;0.000028;-2.945947;-2.320270;-0.625614;32946.621585;25963.276099;6981.250131;0.089927;0.079557;0.010178;-43.623721;-44.273397;0.625614;-8608.864142;-1360.677643;-6981.250131
358.000000;0.000058;0.000046;0.000012;-1.964758;-1.547240;-0.417500;32986.607535;25983.068866;7002.605160;0.088625;0.078238;0.010194;-43.873565;-44.307148;0.417500;-8179.014564;-907.348759;-7002.605160
359.000000;0.000015;0.000012;0.000003;-0.982617;-0.773738;-0.208877;33010.609246;25994.946938;7015.428594;0.087315;0.076919;0.010203;-44.110472;-44.327403;0.208877;-7739.511065;-453.743487;-7015.428594
360.000000;0.000000;0.000000;0.000000;-0.000000;-0.000000;-0.000000;33018.611506;25998.906698;7019.704808;0.085999;0.075600;0.010206;-44.334156;-44.334156;0.000000;-7290.470535;-0.000000;-7019.704808
